,Name,Team,L/R,POS,IP,GS,GP,HA,R,ER,HR,BB,K,W,L,S,HD,BS,ERA,WHIP,SB,CS,SBP,W-Z,K-Z,S-Z,ERA-Z,WHIP-Z,Z-SUM,Z-SUM-A,ACV,
100,Aaron Ashby,MIL,RIGHT,RP,66.66666666666664,1,43,66,16,16,3,24,76,5,2,3,0,0,2.160,1.350,7,1,0.105,-0.859,-1.223,-0.233,0.843,0.402,-1.071,4.298,10.22404423347032,
101,Adrian Houser,CHA| TBA,RIGHT,SP,125.0,21,21,156,49,46,10,38,92,8,5,0,0,0,3.312,1.552,7,2,0.056,-0.072,-0.871,-0.506,0.457,-0.136,-1.129,4.24,10.08607434851423,
102,Devin Williams,NYA,RIGHT,RP,62.0,0,67,62,37,33,5,25,90,4,6,18,0,0,4.790,1.403,12,1,0.194,-1.121,-0.915,1.135,-0.488,0.257,-1.133,4.236,10.0765591840345,
103,Matt Svanson,SLN,RIGHT,RP,60.333333333333336,0,39,43,14,13,3,20,68,4,0,0,0,0,1.939,1.044,1,0,0.017,-1.121,-1.399,-0.506,0.866,1.013,-1.147,4.2219999999999995,10.043256108355441,
104,Tyler Glasnow,LAN,LEFT,SP,90.33333333333333,18,18,78,33,32,10,43,106,4,3,0,0,0,3.188,1.339,10,0,0.111,-1.121,-0.564,-0.506,0.418,0.578,-1.197,4.172,9.924316552358812,
105,Tyler Rogers,NYN| SFN,RIGHT,RP,77.33333333333334,0,81,78,20,17,4,7,48,4,6,0,0,0,1.978,1.099,5,0,0.065,-1.121,-1.838,-0.506,1.087,1.149,-1.23,4.138999999999999,9.845816445401034,
106,David Peterson,NYN,LEFT,SP,168.66666666666669,30,30,214,84,79,11,65,150,9,6,0,0,0,4.215,1.654,4,1,0.024,0.19,0.403,-0.506,-0.571,-0.791,-1.276,4.093,9.736392053884137,
107,Eury Perez,MIA,RIGHT,SP,95.33333333333334,20,20,99,47,45,12,32,105,7,6,0,0,0,4.248,1.374,15,4,0.157,-0.334,-0.586,-0.506,-0.347,0.493,-1.281,4.088,9.724498098284474,
108,Kodai Senga,NYN,LEFT,SP,113.33333333333334,22,22,136,44,38,12,55,109,7,6,0,0,0,3.018,1.685,5,6,0.044,-0.334,-0.498,-0.506,0.675,-0.656,-1.32,4.0489999999999995,9.631725244607102,
109,Steven Okert,HOU,LEFT,RP,71.66666666666669,1,68,59,25,24,6,19,84,3,2,1,0,0,3.014,1.088,8,1,0.112,-1.384,-1.047,-0.415,0.429,1.092,-1.326,4.042999999999999,9.617452497887506,
110,Phil Maton,SLN| TEX,RIGHT,RP,61.33333333333333,0,63,57,21,19,3,23,81,4,5,5,0,0,2.788,1.304,8,1,0.13,-1.121,-1.113,-0.051,0.475,0.468,-1.342,4.026999999999999,9.579391839968583,
111,Camilo Doval,NYA| SFN,RIGHT,RP,65.33333333333334,0,69,64,34,26,4,35,72,4,3,16,0,0,3.582,1.515,11,1,0.168,-1.121,-1.311,0.952,0.102,0.013,-1.365,4.004,9.524679644210135,
112,Gabe Speier,SEA,LEFT,RP,61.999999999999986,0,76,61,19,18,5,11,82,4,3,0,0,0,2.613,1.161,9,1,0.145,-1.121,-1.091,-0.506,0.565,0.785,-1.369,4.0,9.515164479730405,
113,Randy Rodriguez,SFN,RIGHT,RP,50.666666666666664,0,50,44,12,10,4,11,67,3,5,4,0,0,1.776,1.085,7,2,0.138,-1.384,-1.421,-0.142,0.792,0.777,-1.377,3.992,9.496134150770944,
114,Daniel Palencia,CHN,RIGHT,RP,52.66666666666667,0,54,58,19,17,5,16,61,1,6,22,0,0,2.905,1.405,4,0,0.076,-1.909,-1.552,1.499,0.36,0.215,-1.387,3.9819999999999998,9.472346239571618,
115,Alex Vesia,LAN,LEFT,RP,59.66666666666667,0,68,53,21,20,9,22,80,4,2,5,0,0,3.017,1.257,4,4,0.067,-1.121,-1.135,-0.051,0.356,0.555,-1.397,3.9719999999999995,9.448558328372291,
116,Braydon Fisher,TOR,RIGHT,RP,50.000000000000014,1,52,42,15,15,4,19,62,7,0,0,0,0,2.700,1.220,6,1,0.12,-0.334,-1.53,-0.506,0.421,0.53,-1.42,3.949,9.393846132613842,
